display,gene,display2,entrez,pathway,therapy_type,description,link
AFP (AFP),AFP,AFP,174,Hippo signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,A protein highly expressed in human fetus.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;AFP"">AFP</a>"
LALBA (Alpha-lactalbumin),LALBA,Alpha-lactalbumin,3906,Galactose metabolism,Targeted by Other Immuno-Oncology Therapy Type,This protein regulates the production of human milk.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Alpha-lactalbumin"">Alpha-lactalbumin</a>"
AMHR2 (AMHR2),AMHR2,AMHR2,269,Cytokine-cytokine receptor interaction,Targeted by Other Immuno-Oncology Therapy Type,Hormone receptor involved in male sex differentiation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;AMHR2"">AMHR2</a>"
ANGPT1 (ANG1),ANGPT1,ANG1,284,Angiogenesis,Other immunomodulator,"This protein is one type of angiopoietins, which induce apoptosis and formation of new vasculature.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ANG1"">ANG1</a>"
ANGPT2 (ANG2),ANGPT2,ANG2,285,Angiogenesis,Other immunomodulator,"This protein is one type of angiopoietins, which induce apoptosis and formation of new vasculature.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ANG2"">ANG2</a>"
AR (AR),AR,AR,367,Androgen receptor signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,The receptor of androgen hormone and it is highly expressed in certain types of prostate cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;AR"">AR</a>"
ARG1 (Arginase),ARG1,Arginase,383,Amino Acid metabolism,Other immunomodulator,"In tumor microenvironment, arginase degrades arginine into urea. Arginine is an important amino acid for immune cell growth, and depletion of it lead to immunosuppression.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Arginase"">Arginase</a>"
ASPH (ASPH),ASPH,ASPH,444,Ion Channel Transport,Targeted by Other Immuno-Oncology Therapy Type,Overexpression of ASPH associates with increase incidence of cancer.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ASPH"">ASPH</a>"
SLC5A5 (ATRT),SLC5A5,ATRT,6528,Amino Acid metabolism,Targeted by Other Immuno-Oncology Therapy Type,This is a sodium-iodide transporter.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;ATRT"">ATRT</a>"
AURKA (AURKA),AURKA,AURKA,6790,EGF-EGFR Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,AURKA is a kinase and its dysregulation is common among many cancer types. Its high expression among cancers make it a target for cancer vaccine.,"<a href=""NA"">NA</a>"
AURKB (AURKB),AURKB,AURKB,9212,Regulation of Microtubule Cytoskeleton,Targeted by Other Immuno-Oncology Therapy Type,AURKB is a kinase and its dysregulation is common among many cancer types. Its high expression among cancers make it a target for cancer vaccine.,"<a href=""NA"">NA</a>"
AXL (AXL),AXL,AXL,558,Extracellular matrix induced cytoplasmic events,Other immunomodulator,AXL receptor transduce signal from extracellular matrix in to cytoplasm,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;AXL"">AXL</a>"
CD276 (B7-H3),CD276,B7-H3,80381,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"Binds to CD28, CTLA-4, or ICOS to induce subsequent signaling events mainly in immune cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;B7-H3"">B7-H3</a>"
VTCN1 (B7-H4),VTCN1,B7-H4,79679,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"Belongs to B7 family, which includes B7-H3. This molecule is reportedly a checkpoint molecule.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;B7-H4"">B7-H4</a>"
DKFZp686O24166 (B7-H6),DKFZp686O24166,B7-H6,374383,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,Belongs to B7 family and binds to NKp30.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;B7-H6"">B7-H6</a>"
TNFRSF13C (BAFF-R),TNFRSF13C,BAFF-R,115650,Cytokine-cytokine receptor interaction,Targeted by Other Immuno-Oncology Therapy Type,BAFF-R is member of TNF superfamily. It is highly expressed by certain lymphoma and is a target of cell therapy for this disease.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;BAFF-R"">BAFF-R</a>"
BARD1 (BARD1),BARD1,BARD1,580,DNA repair,Targeted by Other Immuno-Oncology Therapy Type,BARD1 binds with BRCA1 to form a complex that stabilizes the function of BRCA1,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;BARD1"">BARD1</a>"
BCL2 (BCL2),BCL2,BCL2,596,Apoptosis,Targeted by Other Immuno-Oncology Therapy Type,"BCL-2 is pro-apoptotic, which induces apoptosis.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;BCL2"">BCL2</a>"
TNFRSF17 (BCMA),TNFRSF17,BCMA,608,Genotoxicity pathway,Targeted by Other Immuno-Oncology Therapy Type,BCMA is specifically expressed on matured B cells. It is also a very popular target for CAR-T cells for multiple myeloma.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;BCMA"">BCMA</a>"
CTNNB1 (Beta catenin),CTNNB1,Beta catenin,1499,Wnt/beta-Catenin pathway,Other immunomodulator,"Beta-Catenin is an important component of Wnt/Beta-Catenin pathway, which plays critical role in many biological functions and diseases.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Beta catenin"">Beta catenin</a>"
POU2AF1 (BOB-1),POU2AF1,BOB-1,5450,Antigen,Targeted by Other Immuno-Oncology Therapy Type,BOB-1 is suggested to be a good marker for B-cell malignancies. CAR-T cell therapies against this target are being developed.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;BOB-1"">BOB-1</a>"
T (Brachyury),T,Brachyury,6862,Epithelial to Mesenchymal Transition,Targeted by Other Immuno-Oncology Therapy Type,"Brachyury is an important transcription factor that promotes epithelial-mesenchymal transition (EMT), and many cancer vaccines target this molecule.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;Brachyury"">Brachyury</a>"
HSP90B1 (BTE6-LX-8b),HSP90B1,BTE6-LX-8b,7184,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,Peptides derived from HSP90B1 are believed to be immunogenic in certain tumor environment and cancer vaccine are being developed based on those peptide sequences. Heat shock proteins are chaperon proteins that help other protein fold into the correct formation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;BTE6-LX-8b"">BTE6-LX-8b</a>"
HSP90B1 (BTE6-X-15-7),HSP90B1,BTE6-X-15-7,7184,Toll-like Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,Peptides derived from HSP90B1 are believed to be immunogenic in certain tumor environment and cancer vaccine are being developed based on those peptide sequences. Heat shock proteins are chaperon proteins that help other protein fold into the correct formation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;BTE6-X-15-7"">BTE6-X-15-7</a>"
KIT (c-KIT),KIT,c-KIT,3815,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"c-KIT is a cytokine receptor expressed on cell surface, and it plays role in many types of cancer and is a popular cancer target.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;c-KIT"">c-KIT</a>"
CA9 (CA9),CA9,CA9,768,Vitamin D Receptor Pathway,Targeted by Other Immuno-Oncology Therapy Type,Carbonic anhydrases(CAs) are a large family of zinc metalloenzymes that catalyze the reversible hydration of carbon dioxide. It is overexpressed in certain solid tumors and it is a target for cancer vaccines.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CA9"">CA9</a>"
CNR2 (CB2),CNR2,CB2,1269,Cannabinoid receptor signaling,Other immunomodulator,"CB2 is responsible for the cell proliferation of certain types of cancer cells. Small molecule that activate CB2 is reportedly to elevate the expression of MHC I on cancer cells, and this leads to enhanced immune response to the cancer cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CB2"">CB2</a>"
CBLB (CBLB),CBLB,CBLB,868,T-Cell antigen Receptor (TCR) Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"CBL-B functions as a negative regulator of T-cell activation. CBL-B expression in T cells causes ligand-induced T cell receptor down-modulation, controlling the activation degree of T cells during antigen presentation.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CBLB"">CBLB</a>"
CCL20 (CCL20),CCL20,CCL20,6364,Interleukin-10 signaling,Targeted by Other Immuno-Oncology Therapy Type,CCL20 is a strong chemokine that attracts lymphocytes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CCL20"">CCL20</a>"
CCL3 (CCL3),CCL3,CCL3,6348,Chemokine signaling pathway,Targeted by Other Immuno-Oncology Therapy Type,"CCL3 is a chemokine and it binds to CCR1, CCR4, and CCR5.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CCL3"">CCL3</a>"
CCNB1 (CCNB1),CCNB1,CCNB1,891,Cell Cycle,Targeted by Other Immuno-Oncology Therapy Type,"CCNB1 plays an important role in cell mitosis, especially during the G2 to M phase transition. It is highly expressed in certain cancers and is being pursued as a target for cancer vaccines.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CCNB1"">CCNB1</a>"
CCR1 (CCR1),CCR1,CCR1,1230,Chemokine signaling pathway,Other immunomodulator,"CCR1 is a chemokine receptor that binds with CCL3, CCL5, CCL 7, and CCL23.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CCR1"">CCR1</a>"
CCR2 (CCR2),CCR2,CCR2,729230,Chemokine signaling pathway,Other immunomodulator,CCR2 is a chemokine receptor that binds with CCL2. CCR2 is important for monocyte migration into tumor or other inflammatory tissues. It is also important for monocytes to migrate out from bone marrow.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CCR2"">CCR2</a>"
CCR4 (CCR4),CCR4,CCR4,1233,Chemokine signaling pathway,Other immunomodulator,"CCR4 is a chemokine receptor that binds with CCL2, CCL4, CCL7, CCL 17, and CCL22. It helps the migration of leukocytes.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CCR4"">CCR4</a>"
CCR7 (CCR7),CCR7,CCR7,1236,Chemokine signaling pathway,Other immunomodulator,"CCR7 is a chemokine receptor that binds with CCL19 and CCL 21. CCR7 is highly expressed by certain types of dendritic cells, which play pivotal role in facilitate the anti-tumor adaptive immunity in cancer. CCR7 also plays role in T cell migration.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CCR7"">CCR7</a>"
CCR9 (CCR9),CCR9,CCR9,10803,Chemokine signaling pathway,Other immunomodulator,CCR9 is a chemokine receptor that binds to CCL25. CCR9 may play role in T cell migration in intestine and colon.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CCR9"">CCR9</a>"
ITGAM (CD11b),ITGAM,CD11b,3684,Interleukin-4 and Interleukin-13 signaling,Other immunomodulator,"CD11b is a surface marker for leukocytes in the innate immune system, including monocytes, macrophages, granulocytes, and NK cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD11b"">CD11b</a>"
IL3RA (CD123),IL3RA,CD123,3563,IL-3 Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,"CD123 is the receptor for IL-3, an important cytokine for the immune system. CD123 is highly expressed in acute myeloid leukemia, and is being pursued as a target for cancer cell therapies.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD123"">CD123</a>"
ANPEP (CD13),ANPEP,CD13,290,Glutathione metabolism,Targeted by Other Immuno-Oncology Therapy Type,CD13 defects is associated with certain types of leukemia and lymphoma. CD13 is being pursued by cancer cell therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD13"">CD13</a>"
PROM1 (CD133),PROM1,CD133,8842,Extracellular vesicle-mediated signaling,Targeted by Other Immuno-Oncology Therapy Type,CD133 is highly expressed in certain subtypes of melanoma cells. It is being pursed by several cancer vaccines as the target.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD133"">CD133</a>"
FLT3 (FLT3),FLT3,FLT3,2322,Leukocyte development,Other immunomodulator,FLT3 is the receptor for FLT-3L. This pathway is important for normal hematopoietic stem cell development. It is also critical for B and T cell development. CD135 is a target for certain leukemia.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;FLT3"">FLT3</a>"
SDC1 (CD138),SDC1,CD138,6382,Cell adhesion molecules (CAMs),Targeted by Other Immuno-Oncology Therapy Type,CD138 is highly expressed in different tumor types and specifically on multiple myeloma cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD138"">CD138</a>"
BSG (CD147),BSG,CD147,682,Matrix Metalloproteinases,Targeted by Other Immuno-Oncology Therapy Type,CD147 is highly expressed in certain immune cells and endothelial cells. CD147 is being pursued by cancer vaccines as a target.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD147"">CD147</a>"
PVR (CD155),PVR,CD155,5817,Adaptive Immune System,Targeted by Other Immuno-Oncology Therapy Type,CD155 normally involves in the adhesion between epithelial cells and also involves in the poliovirus infection in primates.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD155"">CD155</a>"
FCGR3A (CD16),FCGR3A,CD16,2214,Complement system,Other immunomodulator,"CD16 has two isoforms, CD16a and CD16b. They are expressed in a wide range of immune cells and play important roles in phagocytosis and other key immune responses.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD16"">CD16</a>"
CD160 (CD160),CD160,CD160,11126,Adaptive Immune System,Other immunomodulator,CD160's expression is strictly associated with peripheral blood NK cells and CD8 T lymphocytes with cytolytic effector activity. This molecule is a target for certain types of leukemia.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD160"">CD160</a>"
FCGR3A (CD16a),FCGR3A,CD16a,2214,Complement system,Other immunomodulator,"CD16a is one of the two isoforms of CD16. CD16a is expressed on mast cells, macrophages, and natural killer cells as a transmembrane receptor.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD16a"">CD16a</a>"
L1CAM (CD171),L1CAM,CD171,3897,Cell adhesion molecules (CAMs),Targeted by Other Immuno-Oncology Therapy Type,CD171 is highly expressed in many types of cancer and its high expression is associated with poor prognosis.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD171"">CD171</a>"
FUT3 (CD174),FUT3,CD174,2525,Glycosphingolipid biosynthesis - lacto and neolacto series,Targeted by Other Immuno-Oncology Therapy Type,CD174 is an enzyme encoded by human gene FUT3. It is highly expressed by certain types of blood malignancies and this molecule is a target for cancer cell therapies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD174"">CD174</a>"
CD19 (CD19),CD19,CD19,930,B Cell Receptor Signaling Pathway,Targeted by Other Immuno-Oncology Therapy Type,CD19 is expressed by B cells during all phases of their development. CD19 is an ideal target for cell therapy or monoclonal antibodies that are used for treating B-cell cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD19"">CD19</a>"
MS4A1 (CD20),MS4A1,CD20,931,Hematopoietic cell lineage,Targeted by Other Immuno-Oncology Therapy Type,CD20 is expressed by B cells during all phases of their development except for the first and the last phases. CD20 is an ideal target for cell therapy or monoclonal antibodies that are used for treating B-cell cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD20"">CD20</a>"
CD200 (CD200),CD200,CD200,4345,Macrophage activation,Other immunomodulator,CD200 is expressed in myeloid cells such as macrophages. It is reported that the activation of CD200 may inhibit the activation of macrophages.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD200"">CD200</a>"
CR2 (CD21),CR2,CD21,1380,Complement system,Other immunomodulator,"CD21 binds to iC3b, a key molecule in the complement system of the immune system.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD21"">CD21</a>"
CD22 (CD22),CD22,CD22,933,B Cell Receptor Signaling Pathway,Other immunomodulator,CD22 functions as an inhibitory receptor forcell receptor (BCR) signaling. CD22 is also an important target for B-cell malignancies.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD22"">CD22</a>"
IL2RA (IL2RA),IL2RA,IL2RA,3559,Inflammatory Response Pathway,T-cell targeted immunomodulator,"CD25 is the alpha chain of IL-2 receptor. Together with the beta chain, CD25 form the functional IL-2 receptor. The receptor binds to IL-2 and induce intracellular signaling that promote T cell proliferation.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;IL2RA"">IL2RA</a>"
TNFRSF13B (CD267),TNFRSF13B,CD267,23495,Cytokine-cytokine receptor interaction,Targeted by Other Immuno-Oncology Therapy Type,"CD267 is the receptor for ligands BAFF and APRIL. Activation of CD267 leads to the activation of NF-AT, NFkappaB, and AP-1.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD267"">CD267</a>"
CD27 (CD27),CD27,CD27,939,T cell activation,T-cell targeted immunomodulator,CD27 is a co-stimulatory molecule of many immune cells. Activation of CD27 by its ligand CD70 leads to sustained T cell activation.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD27"">CD27</a>"
CD28 (CD28),CD28,CD28,940,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"CD28 is a critical co-stimulatory molecule for T cell activation. Its binding ligands are CD80 and CD86. CD28 activation is an essential component for many cancer immunotherapies, especially the CAR-T therapies.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD28"">CD28</a>"
ITGB1 (CD29),ITGB1,CD29,3688,Cell adhesion molecules (CAMs),Other immunomodulator,CD29 is an important molecule for cell adhesion. Activation of CD29 also increase the migration of leukocytes.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD29"">CD29</a>"
CD3D (CD3D),CD3D,CD3D,915,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"CD3 is the major component of TCR, and its intracellular signaling domain triggers cascades of intracellular events that control T cell activation.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2019;Target;CD3"">CD3</a>"
CD3E (CD3E),CD3E,CD3E,916,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"CD3 is the major component of TCR, and its intracellular signaling domain triggers cascades of intracellular events that control T cell activation.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD3E"">CD3E</a>"
CD3G (CD3G),CD3G,CD3G,917,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"CD3 is the major component of TCR, and its intracellular signaling domain triggers cascades of intracellular events that control T cell activation.","<a href=""NA"">NA</a>"
TNFRSF8 (CD30),TNFRSF8,CD30,943,Cytokine-cytokine receptor interaction,Targeted by Other Immuno-Oncology Therapy Type,CD30 is highly expressed by certain types of lymphoma and is being pursed as a target for those cancers.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD30"">CD30</a>"
FCGR2A (FCGR2A),FCGR2A,FCGR2A,2212,B Cell Receptor Signaling Pathway,Other immunomodulator,CD32 is part of the B-cell co-receptors.,"<a href=""NA"">NA</a>"
FCGR2B (FCGR2B),FCGR2B,FCGR2B,2213,B Cell Receptor Signaling Pathway,Other immunomodulator,CD32 is part of the B-cell co-receptors.,"<a href=""NA"">NA</a>"
CD33 (CD33),CD33,CD33,945,Hematopoietic cell lineage,Targeted by Other Immuno-Oncology Therapy Type,CD33 is generally expressed in myeloid cells. CD33 is a target for leukemia.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD33"">CD33</a>"
CD38 (CD38),CD38,CD38,952,Hematopoietic cell lineage,Targeted by Other Immuno-Oncology Therapy Type,"CD38 is highly expressed in many types of immune cells. CD38 also functions in cell adhesion, signal transduction and calcium signaling.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD38"">CD38</a>"
ENTPD1 (CD39),ENTPD1,CD39,953,Adenosine receptor pathway,Other immunomodulator,CD39 is the enzyme involved in the pathway that hydrolyses extracellular ATP and leads to the generation of immunosuppressive adenosine. ATP promotes immune cell-mediated killing of cancer cells.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD39"">CD39</a>"
CD3E (CD3E),CD3E,CD3E,916,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,"CD3E is part of the CD3, which is the major component of T-cell receptor complex. TCR is the key molecule for T cell activation and it binds to MHC I or II molecules.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD3E"">CD3E</a>"
CD4 (CD4),CD4,CD4,920,T-Cell antigen Receptor (TCR) Signaling Pathway,T-cell targeted immunomodulator,CD4 is an essential component of TCR complex. CD4 guides the TCR complex to binds with MHCII molecule from antigen presenting cells.,"<a href=""NA"">NA</a>"
CD40 (CD40),CD40,CD40,958,Cytokine-cytokine receptor interaction,Other immunomodulator,"CD40 is a receptor and it binds to ligand CD154. Activation of CD40 by its ligand activates the immune cells, most of which are T helper cells.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD40"">CD40</a>"
CD44 (CD44),CD44,CD44,960,Hematopoietic cell lineage,Targeted by Other Immuno-Oncology Therapy Type,CD44 is marker for effector-memory T cell. It is also widely expressed in wide range of immune cells. It is highly expressed in certain types of T-cell leukemia and therefore an ideal target for cancer cell therapy.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD44"">CD44</a>"
CD46 (CD46),CD46,CD46,4179,Complement system,Other immunomodulator,CD46 is a type I membrane protein and is a regulatory component of the complement system of the immune system.,"<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD46"">CD46</a>"
CD47 (CD47),CD47,CD47,961,Innate Immune System,Other immunomodulator,"CD47 is the receptor of SIRP, and the activation of CD47 by the binding of SIRP leads to the inhibition of phagocytosis process. This pathway is sometime referred to as ""don't eat me"" signal.","<a href=""https://www.cancerresearch.org/scientists/immuno-oncology-landscape?2019IOpipelineDB=2017;Target;CD47"">CD47</a>"
