Gene,HGNC Symbol,Friendly Name,Entrez ID,Gene Family,Super Category,Immune Checkpoint,Function,Reference(s) [PMID],X10,Notes
KIR2DL2,KIR2DL2,KIR2DL2,3803,KIR,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/27054314 | https://www.ncbi.nlm.nih.gov/pubmed/20567250 | https://www.ncbi.nlm.nih.gov/pubmed/26000725,"Lirilumab, IPH-2101",https://www.ncbi.nlm.nih.gov/pubmed/21154164
KIR2DL3,KIR2DL3,KIR2DL3,3804,KIR,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/27054314 | https://www.ncbi.nlm.nih.gov/pubmed/20567250 | https://www.ncbi.nlm.nih.gov/pubmed/26000725,"Lirilumab, IPH-2101",https://www.ncbi.nlm.nih.gov/pubmed/21154164
LAG3,LAG3,LAG3,3902,Immunoglobulin,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/21086108 | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
MICA,MICA,MICA,100507436,MHC Class I,Antigen presentation,,Immune suppression,https://www.ncbi.nlm.nih.gov/pubmed/23890059 | https://www.ncbi.nlm.nih.gov/pubmed/10426993,,
MICB,MICB,MICB,4277,MHC Class I,Antigen presentation,,Immune suppression,https://www.ncbi.nlm.nih.gov/pubmed/23890059 | https://www.ncbi.nlm.nih.gov/pubmed/10426993,,
PDCD1 (PD-1),PDCD1,PD-1,5133,B7/CD28,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
"PDCD1LG2 (PD-L2, CD273, B7-DC)",PDCD1LG2,PD-L2,80380,B7/CD28,Co-inhibitor,,Immune suppression,https://www.ncbi.nlm.nih.gov/pubmed/22611421,,
PRF1,PRF1,PRF1,5551,Pore,Other,Stimulatory,Allows infiltration by granzymes,https://www.ncbi.nlm.nih.gov/pubmed/17919943,,
SELP,SELP,SELP,6403,Selectin,Cell adhesion,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/19508173,,
SLAMF7,SLAMF7,SLAMF7,57823,SLAM,Co-inhibitor,Inhibitory,Inhibitory,https://www.ncbi.nlm.nih.gov/pubmed/25312647,,
TGFB1,TGFB1,TGFB1,7040,Cytokine,Ligand,Inhibitory,Immune suppression,https://www.ncbi.nlm.nih.gov/pubmed/26098609,,
TIGIT,TIGIT,TIGIT,201633,PVR,Receptor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/27054314,,
TLR4,TLR4,TLR4,7099,Receptor,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/25120541/,,
TNFA,TNF,TNF,7124,Cytokine,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
TNFRSF14 (HVEM),TNFRSF14,HVEM,8764,TNFR,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
"TNFRSF18 (CD357, GITR)",TNFRSF18,TNFRSF18,8784,TNFR,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/22245556 | https://www.ncbi.nlm.nih.gov/pubmed/27591414,https://www.rndsystems.com/research-area/co--stimulatory-and-co--inhibitory-molecules,https://www.rndsystems.com/pathways/t-cell-co-signaling-pathway-lig-recept-interactions
"TNFRSF4 (CD134,OX40)",TNFRSF4,OX40,7293,TNFR,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/25763356/,https://www.rndsystems.com/research-area/co--stimulatory-and-co--inhibitory-molecules,https://www.rndsystems.com/pathways/t-cell-co-signaling-pathway-lig-recept-interactions
"TNFRSF9 (CD137, 4-1BB)",TNFRSF9,4-1BB,3604,TNFR,Receptor,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26751393,https://www.rndsystems.com/research-area/co--stimulatory-and-co--inhibitory-molecules,https://www.rndsystems.com/pathways/t-cell-co-signaling-pathway-lig-recept-interactions
TNFSF4 (OX40L),TNFSF4,OX40L,7292,TNF,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/25763356/,,
"TNFSF9 (CD137L, 4-1BB-L)",TNFSF9,4-1BB-L,8744,TNF,Ligand,Stimulatory,,https://www.ncbi.nlm.nih.gov/pubmed/26751393,,
VEGFA,VEGFA,VEGFA,7422,Growth factor,Ligand,Inhibitory,Immune suppressor,https://www.ncbi.nlm.nih.gov/pubmed/23890059 | https://www.ncbi.nlm.nih.gov/pubmed/11444391,,
VEGFB,VEGFB,VEGFB,7423,Growth factor,Ligand,Inhibitory,Immune suppressor,https://www.ncbi.nlm.nih.gov/pubmed/23890059 | https://www.ncbi.nlm.nih.gov/pubmed/21124841,,
VISTA (B7-H5),C10orf54,VISTA,64115,Immunoglobulin,Co-inhibitor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/24894088 | https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
VTCN1 (B7-H4),VTCN1,VTCN1,79679,B7/CD28,Co-inhibitor,Inhibitory,,https://www.ncbi.nlm.nih.gov/pubmed/23890059,,
,,,,,,,,,http://www.nature.com/nature/journal/v549/n7670/full/nature23643.html,
